AppID,AppName,Environment,ReleaseVersion,Status,
132,CustomerService,PROD,1.0.1,Business Signed Off,
132,CustomerService,UAT,1.0.1,QA Signed Off,
132,CustomerService,SIT,1.0.1,QA Signed Off,
132,CustomerService,DEV,1.0.1,UT Passed,
133,ECSSO,PROD,2.1.1,Business Signed Off,
132,CustomerService,UAT,1.0.0,QA Failed,
132,CustomerService,SIT,1.0.0,QA Signed Off,
132,CustomerService,DEV,1.0.0,UT Passed,
133,ECSSO,UAT,2.1.1,UT Passed,
155,CDSINFO,PROD,3.0.0,Business Signed Off,
155,CDSINFO,UAT,3.0.0,DQA Signed Off,
133,ECSSO,SIT,2.1.1,QA Signed Off,
133,ECSSO,DEV,2.1.1,UT Passed,
155,CDSINFO,SIT,3.0.0,QA Signed Off,
155,CDSINFO,DEV,3.0.0,UT Passed,
155,CDSINFO,SIT,2.9.9,QA Failed,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
